job_id,Designation,city,state,country,Company_id,Details_id
1,Quality Analyst Automation,Jaipur, Rajasthan, India,5001,1001
2,QA Automation Tester,Jaipur, Rajasthan, India,5001,1002
3,Technology Analyst - Mainframe (3-5 years) - Jaipur,Jaipur, Rajasthan, India,5002,1003
4,Web Developer - Python,Chennai, Tamil Nadu, India,5001,1004
5,Web Developer - Python,Noida, Uttar Pradesh, India,5001,1005
6,Web Developer - Python,Ahmedabad, Gujarat, India,5001,1006
7,QA Automation Engineer,Jaipur, Rajasthan, India,5001,1007
8,Web Developer - Python,Hyderabad, Telangana, India,5001,1008
9,Technology Lead - Mainframe (5-8 years) - Jaipur,Jaipur, Rajasthan, India,5002,1009
10,Web Developer - Python,Pune, Maharashtra, India,5001,1010
11,Sr. Automation Analyst,Bengaluru, Karnataka, India,5001,1011
12,Technology Lead,Jaipur, Rajasthan, India,5002,1012
13,Lead Data Scientist,Indore, Madhya Pradesh, India,5001,1013
14,Remote DevOps Engineer,Bengaluru, Karnataka, India,5001,1014
15,Associate Manager - Data Analytics,Bengaluru, Karnataka, India,5003,1015
16,Quality Analyst Automation,Chennai, Tamil Nadu, India,5001,1016
17,Product Manager - Data Analytics,Hyderabad, Telangana, India,5003,1017
18,Senior Manager-BFS024338,Jaipur, Rajasthan, India,5004,1018
19,Senior Python Developer,Kochi, Kerala, India,5001,1019
20,Remote DevOps Engineer,Hyderabad, Telangana, India,5001,1020
21,Lead Data Scientist,Chandigarh, India,,5001,1021
22,Technology Analyst - .Net,Jaipur, Rajasthan, India,5002,1022
23,Lead Data Scientist,Tamil Nadu, India,,5001,1023
24,Lead Data Scientist,Mumbai, Maharashtra, India,5001,1024
25,Associate Mgr-Data Analytics,Hyderabad, Telangana, India,5003,1025
26,Web Developer -Python,Noida, Uttar Pradesh, India,5001,1026
27,PD - OTC-BFS024025,Jaipur, Rajasthan, India,5004,1027
28,Manager - Data Analytics,Chennai, Tamil Nadu, India,5003,1028
29,Lead Data Scientist,India,,,5001,1029
30,Remote DevOps Engineer,India,,,5001,1030
31,Web Developer -Python,Bengaluru, Karnataka, India,5001,1031
32,Technology Lead - Devops (5-8 years) - Jaipur,Jaipur, Rajasthan, India,5002,1032
33,Selenium Application Developer,Gurgaon, Haryana, India,5005,1033
34,Assoc Mgr-Data Analytics,Hyderabad, Telangana, India,5003,1034
35,Remote DevOps Engineer,Pune, Maharashtra, India,5001,1035
36,SAP FSCM In-House Cash Application Lead,Jaipur, Rajasthan, India,5005,1036
37,Data Scientist- WFH,Chennai, Tamil Nadu, India,5001,1037
38,Technology Architect,Jaipur, Rajasthan, India,5006,1038
39,Associate - Back Office Analyst (REF38E),Kochi, Kerala, India,5003,1039
40,Python Developer- Remote,Gurugram, Haryana, India,5001,1040
41,Data Scientist- WFH,Delhi, India,,5001,1041
42,Data Scientist- WFH,Hyderabad, Telangana, India,5001,1042
43,Data Scientist- WFH,Bengaluru, Karnataka, India,5001,1043
44,Technical Lead,Bengaluru, Karnataka, India,5006,1044
45,Remote DevOps Engineer,Gurugram, Haryana, India,5001,1045
46,Lead - Data Scientist / Analytics,Hyderabad, Telangana, India,5003,1046
47,Lead,Chennai, Tamil Nadu, India,5003,1047
48,Python Software Developer,Hyderabad, Telangana, India,5001,1048
49,Test Automation,Pune, Maharashtra, India,5007,1049
50,Lead Administrator,Mumbai, Maharashtra, India,5006,1050
51,Lead - Data Analytics,Bengaluru, Karnataka, India,5003,1051
52,Data Science Manager,Ahmedabad, Gujarat, India,5001,1052
53,Technology Lead - Mainframe (5-8 years) - Jaipur,Jaipur, Rajasthan, India,5002,1053
54,Associate,Chennai, Tamil Nadu, India,5003,1054
55,Autosar BSW,Bangalore Urban, Karnataka, India,5006,1055
56,Technology Lead - Mainframe (5-8 years) - Jaipur,Jaipur, Rajasthan, India,5002,1056
57,Associate,Jaipur, Rajasthan, India,5004,1057
58,Associate,Chennai, Tamil Nadu, India,5003,1058
59,Python Developer- Remote,Bengaluru, Karnataka, India,5001,1059
60,Lead I - Software Engineering,Thiruvananthapuram, Kerala, India,5008,1060
61,Lead Administrator,Coimbatore, Tamil Nadu, India,5006,1061
62,AWS BigData Application Developer,Jaipur, Rajasthan, India,5005,1062
63,Technology Analyst,Jaipur, Rajasthan, India,5002,1063
64,Lead - Software Development,Bengaluru, Karnataka, India,5003,1064
65,Data Scientist- WFH,India,,,5001,1065
66,PA - AP-HEA007246,Jaipur, Rajasthan, India,5004,1066
67,Python Backend Developer,Bengaluru, Karnataka, India,5001,1067
68,Technology Analyst,Jaipur, Rajasthan, India,5002,1068
69,Selenium+C#,Greater Delhi Area,,,5007,1069
70,DELIVERY MANAGER,Chennai, Tamil Nadu, India,5009,1070
71,Support,Chennai, Tamil Nadu, India,5003,1071
72,Technology Analyst - Mainframe (3-5 years) - Indore,Indore, Madhya Pradesh, India,5002,1072
73,Python Lead,Thiruvananthapuram, Kerala, India,5008,1073
74,Technology Analyst - Devops (3-5 years) - Jaipur,Jaipur, Rajasthan, India,5002,1074
75,Technology Analyst - Oracle PL/SQL (3-5 years) - Coimbatore,Coimbatore, Tamil Nadu, India,5002,1075
76,Senior manager-BFS024317,Jaipur, Rajasthan, India,5004,1076
77,Senior Python Developer,Chennai, Tamil Nadu, India,5001,1077
78,Data Manager,Bengaluru, Karnataka, India,5010,1078
79,Assistant Technical Manager,Gurgaon, Haryana, India,5010,1079
80,Data Analyst,Noida, Uttar Pradesh, India,5006,1080
81,Informatica Data Quality Application Developer,Mumbai, Maharashtra, India,5005,1081
82,Informatica Data Quality Application Developer,Mumbai, Maharashtra, India,5005,1082
83,Consultant - Cards and Payments,Bangalore Urban, Karnataka, India,5002,1083
84,Project Manager,Jaipur, Rajasthan, India,5007,1084
85,Sr Data Scientist,Bengaluru, Karnataka, India,5009,1085
86,Technology Lead - Devops (5-8 years) - Jaipur,Jaipur, Rajasthan, India,5002,1086
87,Technology Lead,Jaipur, Rajasthan, India,5002,1087
88,Python Software Developer,Gurugram, Haryana, India,5001,1088
89,TCS Hiring For JAVA,Bengaluru, Karnataka, India,5007,1089
90,Delivery Assurance Manager,Kolkata, West Bengal, India,5006,1090
91,Senior Analyst,Bengaluru, Karnataka, India,5010,1091
92,QE_Perfomance_Senior,Kolkata, West Bengal, India,5011,1092
93,Data Scientist Remote,Chennai, Tamil Nadu, India,5001,1093
94,Data Science Manager,Hyderabad, Telangana, India,5001,1094
95,Devops- Technology Analyst,Bengaluru, Karnataka, India,5002,1095
