Designation,Name,Location,Level_and_involvement,Total_applicants,Industry_and_Employee_count,LinkedIn_Followers
Quality Analyst Automation,Uplers,"Jaipur, Rajasthan, India",Full-time · Associate,122 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,044 followers"
QA Automation Tester,Uplers,"Jaipur, Rajasthan, India",Full-time · Associate,,"1,001-5,000 employees · IT Services and IT Consulting","668,044 followers"
Technology Analyst - Mainframe (3-5 years) - Jaipur,Infosys,"Jaipur, Rajasthan, India",Full-time · Associate,29 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,621 followers"
Web Developer - Python,Uplers,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,161 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,044 followers"
Web Developer - Python,Uplers,"Noida, Uttar Pradesh, India",Full-time · Mid-Senior level,75 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,044 followers"
Web Developer - Python,Uplers,"Ahmedabad, Gujarat, India",Full-time · Mid-Senior level,102 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,045 followers"
QA Automation Engineer,Uplers,"Jaipur, Rajasthan, India",Full-time · Associate,186 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,045 followers"
Web Developer - Python,Uplers,"Hyderabad, Telangana, India",Full-time · Mid-Senior level,98 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,045 followers"
Technology Lead - Mainframe (5-8 years) - Jaipur,Infosys,"Jaipur, Rajasthan, India",Full-time · Mid-Senior level,8 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,626 followers"
Web Developer - Python,Uplers,"Pune, Maharashtra, India",Full-time · Mid-Senior level,90 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,046 followers"
Sr. Automation Analyst,Uplers,"Bengaluru, Karnataka, India",Full-time · Associate,39 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,046 followers"
Technology Lead,Infosys,"Jaipur, Rajasthan, India",Full-time · Associate,13 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,630 followers"
Lead Data Scientist,Uplers,"Indore, Madhya Pradesh, India",Full-time · Mid-Senior level,18 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,047 followers"
Remote DevOps Engineer,Uplers,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,13 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,047 followers"
Associate Manager - Data Analytics,Sutherland,"Bengaluru, Karnataka, India",Full-time · Entry level,14 applicants,"10,001+ employees · IT Services and IT Consulting",
Quality Analyst Automation,Uplers,"Chennai, Tamil Nadu, India",Full-time · Associate,105 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,047 followers"
Product Manager - Data Analytics,Sutherland,"Hyderabad, Telangana, India",Full-time · Entry level,1 applicant,"10,001+ employees · IT Services and IT Consulting",
Senior Manager-BFS024338,Genpact,"Jaipur, Rajasthan, India",Full-time · Mid-Senior level,48 applicants,"10,001+ employees · IT Services and IT Consulting",
Senior Python Developer,Uplers,"Kochi, Kerala, India",Full-time · Mid-Senior level,14 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,048 followers"
Remote DevOps Engineer,Uplers,"Hyderabad, Telangana, India",Full-time · Mid-Senior level,28 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,048 followers"
Lead Data Scientist,Uplers,"Chandigarh, India",Full-time · Mid-Senior level,16 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,048 followers"
Technology Analyst - .Net,Infosys,"Jaipur, Rajasthan, India",Full-time · Associate,41 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,640 followers"
Lead Data Scientist,Uplers,"Tamil Nadu, India",Full-time · Mid-Senior level,22 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,048 followers"
Lead Data Scientist,Uplers,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,39 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,048 followers"
Associate Mgr-Data Analytics,Sutherland,"Hyderabad, Telangana, India",Full-time · Entry level,4 applicants,"10,001+ employees · IT Services and IT Consulting",
Web Developer -Python,Uplers,"Noida, Uttar Pradesh, India",Full-time · Mid-Senior level,91 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,048 followers"
PD - OTC-BFS024025,Genpact,"Jaipur, Rajasthan, India",Full-time · Entry level,34 applicants,"10,001+ employees · IT Services and IT Consulting",
Manager - Data Analytics,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,1 applicant,"10,001+ employees · IT Services and IT Consulting",
Lead Data Scientist,Uplers,India,Full-time · Mid-Senior level,35 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,051 followers"
Remote DevOps Engineer,Uplers,India,Full-time · Mid-Senior level,16 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,051 followers"
Web Developer -Python,Uplers,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,121 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,051 followers"
Technology Lead - Devops (5-8 years) - Jaipur,Infosys,"Jaipur, Rajasthan, India",Full-time · Mid-Senior level,17 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,650 followers"
Selenium Application Developer,Accenture in India,"Gurgaon, Haryana, India",Full-time · Mid-Senior level,7 applicants,"10,001+ employees · IT Services and IT Consulting",
Assoc Mgr-Data Analytics,Sutherland,"Hyderabad, Telangana, India",Full-time · Entry level,11 applicants,"10,001+ employees · IT Services and IT Consulting",
Remote DevOps Engineer,Uplers,"Pune, Maharashtra, India",Full-time · Mid-Senior level,21 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,054 followers"
SAP FSCM In-House Cash Application Lead,Accenture in India,"Jaipur, Rajasthan, India",Full-time · Mid-Senior level,22 applicants,"10,001+ employees · IT Services and IT Consulting",
Manager - Data Analytics,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,1 applicant,"10,001+ employees · IT Services and IT Consulting",
